"Part";"Value";"Device";"Footprint Name";"Detailed Description";"AVAILABILITY";"CATEGORY";"COPYRIGHT";"DATASHEET";"DESCRIPTION";"DIGI-KEY_PART_NUMBER_1";"DIGI-KEY_PART_NUMBER_2";"DIGI-KEY_PART_NUMBER_3";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MAXIMUM_PACKAGE_HEIGHT";"MF";"MP";"MPN";"OPERATING_TEMPERATURE";"PACKAGE";"PACKAGE_SIZE";"PACKAGE_TYPE";"PARTREV";"PART_STATUS";"POPULARITY";"PRICE";"PROD_ID";"PURCHASE-URL";"REFDES";"ROHS";"SERIES";"SNAPEDA_PACKAGE_ID";"SPICEPREFIX";"STANDARD";"SUBCATEGORY";"THERMALLOSS";"TYPE";"VALUE";
"PWR1:9VINVBSTBCK1:C10";"4.7 nF (50V)";"C0603C472F5GACTU";"CAPC1608X87N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C11";"22 uF (25V)";"CL32B226KAJNNNE";"ANTC3225X280N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C12";"6.8 pF (16V)";"885012005024_6.3V(DC)";"WCAP-CSGP_0402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C13";"220 nF (6.3V)";"C0402C224K9PACTU";"CAPC1005X55N";"";"";"";"";"";"";"";"";"";"KEMET";"";"";"0.55mm";"";"";"";"";"";"";"";"N/A";"";"";"";"";"";"";"";"";"";"";"IPC 7351B";"";"";"";"";
"PWR1:9VINVBSTBCK1:C14";"7.5 pF (25V)";"GJM0335C1E7R5BB01D";"CAPC0603X33N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:C15";"22 uF (25V)";"CL32B226KAJNNNE";"ANTC3225X280N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:L2";"4.7 uH";"WE-PD_7332";"WE-PD_7332";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:L3";"4.7 uH";"WE-PD_7332";"WE-PD_7332";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:R4";"300";"HRG3216P-3000-B-T1";"RESC3216X55N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:R5";"130K";"ERA6AEB134V";"RES_ERA6AEB134V";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"0.6 mm";"";"";"";"";"";"";"";"3/1/2020";"";"";"";"";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";
"PWR1:9VINVBSTBCK1:R6";"835K";"RN73H1JTTD8353F25RES_RN73H_1J_KOA";"RES_RN73H_1J_KOA";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"KOA Speer";"RN73H1JTTD8353F25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:R7";"120k";"ERA6AEB124V";"RES_ERA6AEB124V";"";"";"";"";"";"";"";"";"";"Panasonic";"";"";"0.6 mm";"";"";"";"";"";"";"";"3/1/2020";"";"";"";"";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";
"PWR1:9VINVBSTBCK1:R8";"900K";"RT1206BRE07900KL";"RESC3116X65N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:U$1";"RAF040P01TCL";"RAF040P01TCL";"TRANS_RAF040_ROM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:U4";"TPS65130RGER";"TPS65130RGER";"QFN50P400X400X100-25N";"";"";"";"";"";"";"";"";"";"Texas Instruments";"";"";"1.00mm";"";"";"";"";"";"";"";"4219013/A 05/2017";"";"";"";"";"";"";"";"";"";"";"IPC-7351B";"";"";"";"";
"PWR1:9VINVBSTBCK1:U5";"MBRM120ET1GDO-216AA_ONS";"MBRM120ET1GDO-216AA_ONS";"DO-216AA_ONS";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"onsemi";"MBRM120ET1G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:9VINVBSTBCK1:U6";"MBRM120ET1GDO-216AA_ONS";"MBRM120ET1GDO-216AA_ONS";"DO-216AA_ONS";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"onsemi";"MBRM120ET1G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:1S-1C-LIPO";"";"BATTERYLIPO-TABS";"LIPO-110-TABS";"Battery - Single Cell";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:C2";"0.1 uF";"GRM033C70J104KE14D";"CAPC0603X33N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:LED1";"LTST-C170GKTLED_LTST-C170GKT_LTO";"LTST-C170GKTLED_LTST-C170GKT_LTO";"LED_LTST-C170GKT_LTO";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"LITE-ON";"LTST-C170GKT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:R1";"2.2K";"CRG0805F2K2";"RESC2012X65N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:R2";"330";"RC1206JR-07330RL";"RESC3116X65N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:R3";"RG1005P-152-B-T5RES_0510_SUS";"RG1005P-152-B-T5RES_0510_SUS";"RES_0510_SUS";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Susumu";"RG1005P-152-B-T5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:U$7";"FS8205A";"FS8205A";"FS8205A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BAT1:U2";"BQ29700DSERDSE0006A";"BQ29700DSERDSE0006A";"DSE0006A";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"https://www.ti.com/lit/gpn/bq2970";"Lithium-ion (Li-ion) and lithium-polymer (Li-Po) advanced single-cell battery protector 6-WSON -40 to 85";"296-43985-1-ND";"296-43985-2-ND";"296-43985-6-ND";"";"Texas Instruments";"BQ29700DSER";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"RefDes";"";"";"";"";"";"";"";"TYPE";"";
"PWR1:BATCHG1:C1";"1 uF (6.3V)";"CL03A105MQ3CSNCCAP_CL03_SAM";"CAP_CL03_SAM";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Samsung";"CL03A105MQ3CSNC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BATCHG1:LED1";"LTST-C170GKTLED_LTST-C170GKT_LTO";"LTST-C170GKTLED_LTST-C170GKT_LTO";"LED_LTST-C170GKT_LTO";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"LITE-ON";"LTST-C170GKT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BATCHG1:R1";"RG1608P-4990-B-T5";"RG1608P-4990-B-T5";"RESC1608X50N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BATCHG1:R2";"RG1005P-152-B-T5RES_0510_SUS";"RG1005P-152-B-T5RES_0510_SUS";"RES_0510_SUS";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Susumu";"RG1005P-152-B-T5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BATCHG1:U$1";"";"DG103350";"DG103350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"PWR1:BATCHG1:U1";"BQ21040DBVR";"BQ21040DBVR";"SOT95P280X145-6N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TEMP1:R1";"47K";"RC0603FR-0747KL";"RESC1608X55";"";"";"";"";"";"";"";"";"";"YAGEO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TEMP1:R2";"47K";"RC0603FR-0747KL";"RESC1608X55";"";"";"";"";"";"";"";"";"";"YAGEO";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TEMP1:U$1";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"RNCF0402BTE10K0";"10K Resistor 0.1% 1/10W";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"TEMP1:U$2";"jdahjsd";"DG103350";"DG103350";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBC1:CR2";"PESD4V0Y1BSFYLSOD962-2_NEX";"PESD4V0Y1BSFYLSOD962-2_NEX";"SOD962-2_NEX";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Nexperia";"PESD4V0Y1BSFYL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBC1:CR3";"PESD4V0Y1BSFYLSOD962-2_NEX";"PESD4V0Y1BSFYLSOD962-2_NEX";"SOD962-2_NEX";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Nexperia";"PESD4V0Y1BSFYL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBC1:CR4";"PESD4V0Y1BSFYLSOD962-2_NEX";"PESD4V0Y1BSFYLSOD962-2_NEX";"SOD962-2_NEX";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"Nexperia";"PESD4V0Y1BSFYL";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBC1:J1";"USB4105-GF-A";"USB4105-GF-A";"GCT_USB4105-GF-A";"";"";"";"";"";"";"";"";"";"GCT";"";"";"3.31 mm";"";"";"";"";"";"";"";"B4";"";"";"";"";"";"";"";"";"";"";"Manufacturer Recommendations";"";"";"";"";
"USBC1:R1";"5.1K";"RG1608P-4990-B-T5";"RESC1608X50N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBC1:R2";"5.1K";"RG1608P-4990-B-T5";"RESC1608X50N";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"USBC1:U1";"MBRM120ET1GDO-216AA_ONS";"MBRM120ET1GDO-216AA_ONS";"DO-216AA_ONS";"";"";"";"Copyright (C) 2025 Ultra Librarian. All rights reserved.";"";"";"";"";"";"";"onsemi";"MBRM120ET1G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
